#月,日,時,分,傾斜面日射強度,直達日射強度,散乱光日射強度,反射光日射強度,水平面日射強度,PV電力,発電電力,PV電圧,PV電流,PV温度,外気温度,システム出力係数,PV効率,PV電力(定格比),発電電力(定格比)
#月,日,時,分,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW,kW,V,A,℃,℃,%,%,kW/kWp,kW/kWp
1,4,14,0,0.44,0.23,0.21,0.00,0.37,40.74,40.01,399.21,102.05,18.37,3.40,93.92,21.84,0.42,0.41
1,4,14,30,0.38,0.18,0.20,0.00,0.32,35.15,34.52,398.46,88.22,16.09,3.20,94.08,21.88,0.36,0.36
1,4,15,0,0.28,0.12,0.17,0.00,0.24,26.32,25.84,394.93,66.63,12.49,2.85,94.17,21.90,0.27,0.27
1,4,15,30,0.18,0.05,0.13,0.00,0.16,16.97,16.67,389.92,43.52,8.73,2.50,94.04,21.87,0.18,0.17
1,4,16,0,0.11,0.03,0.08,0.00,0.10,10.41,10.22,381.71,27.28,6.27,2.45,94.00,21.86,0.11,0.11
1,4,16,30,0.04,0.00,0.04,0.00,0.04,3.91,3.84,363.36,10.77,3.79,2.40,97.16,22.60,0.04,0.04
1,4,17,0,0.02,0.00,0.02,0.00,0.02,2.23,2.19,352.79,6.32,2.64,1.90,104.53,24.31,0.02,0.02
1,4,17,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,0.00,0.00,0.00,0.00
1,4,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.90,0.00,0.00,0.00,0.00
1,4,18,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.00,0.00,0.00
1,4,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.95,0.00,0.00,0.00,0.00
1,4,19,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.50,0.00,0.00,0.00,0.00
1,4,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,0.00,0.00,0.00,0.00
1,4,20,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00
1,4,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.50,0.00,0.00,0.00,0.00
1,4,21,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,1.70,0.00,0.00,0.00,0.00
1,4,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,1.80,0.00,0.00,0.00,0.00
